  1	   1	               2	8.527e-06
  2	   2	               3	1.201e-06
  3	   3	               5	1.596e-06
  4	   3	               8	1.593e-06
  5	   4	              13	1.547e-06
  6	   4	              22	2.240e-06
  7	   5	              36	2.697e-06
  8	   5	              60	3.825e-06
  9	   5	             100	5.189e-06
 10	   6	             167	7.591e-06
 11	   6	             279	1.119e-05
 12	   6	             465	1.227e-05
 13	   7	             777	2.012e-05
 14	   7	            1297	3.324e-05
 15	   7	            2165	4.712e-05
 16	   7	            3614	7.152e-05
 17	   8	            6031	1.114e-04
 18	   8	           10065	1.780e-04
 19	   8	           16795	2.899e-04
 20	   8	           28024	4.891e-04
 21	   9	           46758	3.334e-04
 22	   9	           78011	4.462e-04
 23	   9	          129304	7.336e-04
 24	   9	          214870	1.207e-03
 25	   9	          357608	2.245e-03
 26	   10	          594940	4.024e-03
 27	   10	          990850	6.419e-03
 28	   10	         1650517	9.135e-03
 29	   11	         2749395	1.610e-02
 30	   11	         4580952	2.801e-02
 31	   11	         7632406	4.502e-02
 32	   12	        12717296	7.400e-02
 33	   12	        21190409	1.239e-01
 34	   12	        35490924	2.092e-01
 35	   13	        59320129	3.470e-01
 36	   13	        98520932	5.710e-01
 37	   13	       164023587	9.653e-01
 38	   14	       273170845	1.747e+00
 39	   14	       454719243	2.838e+00
 40	   14	       757598518	4.680e+00
 41	   14	      1268814241	7.647e+00
 42	   15	      2120553376	1.232e+01
 43	   15	      3521553954	2.057e+01
 44	   15	      5862369706	3.443e+01
 45	   16	      9763161050	5.728e+01
 46	   16	     16251150314	9.782e+01
 47	   16	     27075199724	1.585e+02
 48	   16	     45345119709	2.637e+02
 49	   17	     72402050106	4.288e+02
 50	   17	    117490368785	7.047e+02
 55	   19	   1298851588450	7.932e+03
 
