  1 	   1 	                2 	 5.660e-07 
  2 	   2 	                3 	 3.070e-07 
  3 	   3 	                5 	 3.650e-07 
  4 	   3 	                8 	 3.940e-07 
  5 	   4 	               13 	 4.210e-07 
  6 	   4 	               22 	 5.130e-07 
  7 	   5 	               36 	 5.980e-07 
  8 	   5 	               60 	 8.160e-07 
  9 	   5 	              100 	 1.177e-06 
 10 	   6 	              167 	 1.594e-06 
 11 	   6 	              279 	 4.124e-06 
 12 	   6 	              465 	 2.209e-05 
 13 	   7 	              777 	 5.462e-06 
 14 	   7 	             1297 	 8.738e-06 
 15 	   7 	             2165 	 1.425e-05 
 16 	   7 	             3614 	 2.858e-05 
 17 	   8 	             6031 	 3.849e-05 
 18 	   8 	            10065 	 7.351e-05 
 19 	   8 	            16795 	 1.495e-04 
 20 	   8 	            28011 	 2.044e-04 
 21 	   9 	            46724 	 3.676e-04 
 22 	   9 	            77940 	 5.157e-04 
 23 	   9 	           130018 	 8.273e-04 
 24 	   9 	           215584 	 1.348e-03 
 25 	   9 	           358322 	 2.207e-03 
 26 	  10 	           596439 	 3.722e-03 
 27 	  10 	           992349 	 6.302e-03 
 28 	  10 	          1652801 	 1.035e-02 
 29 	  10 	          2767925 	 1.728e-02 
 30 	  11 	          4625541 	 2.852e-02 
 31 	  11 	          7720464 	 4.776e-02 
 32 	  11 	         12891494 	 8.011e-02 
 33 	  12 	         21523247 	 1.326e-01 
 34 	  12 	         35918956 	 2.225e-01 
 35 	  12 	         59934205 	 3.682e-01 
 36 	  12 	        100008968 	 6.149e-01 
 37 	  13 	        165877317 	 1.016e+00 
 38 	  13 	        275748298 	 1.688e+00 
 39 	  13 	        459040120 	 2.809e+00 
 40 	  13 	        763807571 	 4.677e+00 
 41 	  14 	       1272197857 	 7.761e+00 
 42 	  14 	       2119288282 	 1.285e+01 
 43 	  14 	       3530376273 	 2.140e+01 
 44 	  15 	       5882306543 	 3.566e+01 
 45 	  15 	       9800733121 	 5.946e+01 
 46 	  15 	      16330320084 	 9.884e+01 
 47 	  16 	      27210785618 	 1.645e+02 
 48 	  16 	      43539697326 	 2.654e+02 
 49 	  16 	      70749074568 	 4.316e+02 
 50 	  17 	     114287363518 	 6.916e+02 
 55 	  19 	    1300668777074 	 7.812e+03 
